Ticker,TickerType,Company,Traded,Transaction,Trade_Size_USD,Status,Subholding,Description,Name,BioGuideID,Filed,Party,District,Chamber,Comments,Quiver_Upload_Time,excess_return,State,last_modified
WB1,,SCHWAB CHARLES CORP NEW,2023-04-21,Sale,"$50,001 - $100,000",,,,Michael T. McCaul,M001157,2023-05-12,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2023-04-21,Purchase,"$50,001 - $100,000",,,,Michael T. McCaul,M001157,2023-05-12,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2023-04-21,Purchase,"$50,001 - $100,000",,,,Michael T. McCaul,M001157,2023-05-12,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2023-04-05,Sale,"$15,001 - $50,000",,,,Michael T. McCaul,M001157,2023-05-12,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2023-04-05,Sale,"$50,001 - $100,000",,,,Michael T. McCaul,M001157,2023-05-12,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2023-04-03,Sale,"$50,001 - $100,000",,,,Michael T. McCaul,M001157,2023-05-12,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2023-04-03,Sale,"$50,001 - $100,000",,,,Michael T. McCaul,M001157,2023-05-12,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2022-12-15,Sale,"$50,001 - $100,000",,,,Michael T. McCaul,M001157,2023-01-19,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2022-12-15,Sale,"$15,001 - $50,000",,,,Michael T. McCaul,M001157,2023-01-19,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
CNE1,,CONNECTICUT ST GO REF,2022-12-14,Purchase,"$50,001 - $100,000",,,,Michael T. McCaul,M001157,2023-01-19,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
CNE1,,CONNECTICUT ST GO REF,2022-12-14,Purchase,"$50,001 - $100,000",,,,Michael T. McCaul,M001157,2023-01-19,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
USBC1,,U.S. BANCORP HYBRID PERPETUAL USD,2022-12-06,Sale,"$1,001 - $15,000",,,,Ro Khanna,K000389,2023-01-06,D,,House,Handfiled Trade,2025-05-20,,California,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2022-12-05,Sale,"$15,001 - $50,000",,,,Michael T. McCaul,M001157,2023-01-19,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2022-12-05,Sale,"$15,001 - $50,000",,,,Michael T. McCaul,M001157,2023-01-19,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2022-11-25,Sale,"$15,001 - $50,000",,,,Michael T. McCaul,M001157,2022-12-22,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2022-11-25,Sale,"$50,001 - $100,000",,,,Michael T. McCaul,M001157,2022-12-22,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2022-11-17,Sale,"$15,001 - $50,000",,,,Michael T. McCaul,M001157,2022-12-22,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
