Ticker,TickerType,Company,Traded,Transaction,Trade_Size_USD,Status,Subholding,Description,Name,BioGuideID,Filed,Party,District,Chamber,Comments,Quiver_Upload_Time,excess_return,State,last_modified
TSLA,,"TESLA MOTORS, INC.",2014-02-26,Purchase,"$1,001 - $15,000",NEW,,$260 EXP 04/19/14,Mr. Nick J. Rahall Ii,R000011,2014-03-12,D, WV03,House,,2020-07-26,1988.90032343887,West Virginia,2023-11-16
UNTD1,,BANCORPSOUTH INC,2014-02-10,Purchase,"$15,001 - $50,000",,,,Michael T. McCaul,M001157,2014-03-13,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
UNTD1,,BANCORPSOUTH INC,2014-02-10,Purchase,"$15,001 - $50,000",,,,Michael T. McCaul,M001157,2014-03-13,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
FTI1,,FMC TECHNOLOGIES INC,2014-01-30,Purchase,"$1,001 - $15,000",,,,Michael T. McCaul,M001157,2014-02-12,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
FTI1,,FMC TECHNOLOGIES INC,2014-01-30,Purchase,"$1,001 - $15,000",,,,Michael T. McCaul,M001157,2014-02-12,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
TSLA,,"TESLA MOTORS, INC.",2014-01-27,Sale,"$1,001 - $15,000",NEW,,PUT TESLA MOTORS $190 EXP 06/21/14,Mr. Nick J. Rahall Ii,R000011,2014-02-14,D, WV03,House,,2020-07-26,3127.24312814889,West Virginia,2023-11-16
SNI,,"SCRIPPS NETWORKS INTERACTIVE, INC COMMON CLASS A",2014-01-23,Sale,"$1,001 - $15,000",NEW,INVESTMENT ACCOUNT,PUT 3/22/2014 $75 (100SHS),Mr. Richard L. Hanna,H001051,2014-02-14,R, NY22,House,,2020-07-26,-30.128550140105,New York,2023-11-16
TSLA,,"TESLA MOTORS, INC.",2014-01-23,Purchase,"$1,001 - $15,000",NEW,,PUT TESLA MOTORS $190 EXP 06/21/14,Mr. Nick J. Rahall Ii,R000011,2014-02-14,D, WV03,House,,2020-07-26,2908.13578826237,West Virginia,2023-11-16
GPS,,"GAP, INC.",2014-01-23,Sale,"$1,001 - $15,000",NEW,INVESTMENT ACCOUNT,CALL 2/22/2014 $39 (100SHS),Mr. Richard L. Hanna,H001051,2014-02-14,R, NY22,House,,2020-07-26,-242.697057101419,New York,2023-11-16
PPL,,PP&L CORPORATION,2014-01-23,Sale,"$1,001 - $15,000",NEW,INVESTMENT ACCOUNT,CALL 2/22/2014 $30 (100SHS),Mr. Richard L. Hanna,H001051,2014-02-14,R, NY22,House,,2020-07-26,-240.389651814794,New York,2023-11-16
UPS,,"UNITED PARCEL SERVICE, INC.",2014-01-23,Sale,"$1,001 - $15,000",NEW,INVESTMENT ACCOUNT,PUT 2/22/2014 $97.50 (100SHS),Mr. Richard L. Hanna,H001051,2014-02-14,R, NY22,House,,2020-07-26,-265.44655343106,New York,2023-11-16
MR1,,MINDRAY MED INTL LTD,2014-01-03,Purchase,"$15,001 - $50,000",,,,Michael T. McCaul,M001157,2014-02-12,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
PNC,,"PNC FINANCIAL SERVICES GROUP, INC.",2013-12-30,Sale,"$1,001 - $15,000",NEW,,PUT 2/22/2014 $77.50 (100SHS),Mr. Richard L. Hanna,H001051,2014-01-15,R, NY22,House,,2020-07-26,-119.539011598202,New York,2023-11-16
DGX,,QUEST DIAGNOSTICS INCORPORATED,2013-12-30,Sale,"$1,001 - $15,000",NEW,,PUT 2/22/2014 $50 (100SHS),Mr. Richard L. Hanna,H001051,2014-01-15,R, NY22,House,,2020-07-26,-9.22973098375854,New York,2023-11-16
GS,,"GOLDMAN SACHS GROUP, INC.",2013-12-30,Sale,"$1,001 - $15,000",NEW,,PUT 2/22/2014 $170 (100SHS),Mr. Richard L. Hanna,H001051,2014-01-15,R, NY22,House,,2020-07-26,83.9434349186673,New York,2023-11-16
